cs_id,uid,Score,date_obtained,notes
LN-20742136,1,5,2021-03-01,
LN-21769054,1,2,2021-03-01,
LN-20886717,1,2,2021-03-01,
LN-20058903,1,2,2021-03-01,
LN-20956338,1,3,2021-03-01,
LN-20769216,1,1,2021-03-01,
LN-18771550,1,2,2021-03-01,
LN-21468327,1,3,2021-03-01,
LN-21058749,1,3,2021-03-01,
LN-11150078,1,2,2021-03-03,
LN-12170475,1,3,2021-03-03,
LN-12239253,1,1,2021-03-03,
LN-14109212,1,4,2021-03-03,
LN-14192655,1,2,2021-03-03,
LN-15108367,1,2,2021-03-03,
LN-16445283,1,1,2021-03-03,
LN-16681285,1,2,2021-03-03,
LN-17033691,1,1,2021-03-03,
LN-17149505,1,2,2021-03-03,
LN-17569293,1,3,2021-03-03,
LN-17692757,1,1,2021-03-03,
LN-17868872,1,1,2021-03-03,
LN-18181149,1,3,2021-03-03,
LN-18181205,1,3,2021-03-03,
LN-18288967,1,3,2021-03-03,
LN-18591703,1,3,2021-03-03,
LN-18710758,1,1,2021-03-03,
LN-18729587,1,2,2021-03-03,
LN-18771550,1,3,2021-03-03,
LN-18819368,1,1,2021-03-04,
LN-18918096,1,2,2021-03-04,
LN-19374344,1,3,2021-03-04,
LN-19626041,1,2,2021-03-04,
LN-19627971,1,1,2021-03-04,
LN-20058903,1,2,2021-03-04,
LN-20107835,1,1,2021-03-04,
LN-20205607,1,3,2021-03-04,
LN-20257323,1,4,2021-03-04,
LN-20432592,1,3,2021-03-04,
LN-20637101,1,1,2021-03-04,
LN-20742136,1,1,2021-03-04,
LN-20956338,1,2,2021-03-04,
LN-21058749,1,2,2021-03-04,
LN-21081765,1,3,2021-03-04,
LN-21099885,1,1,2021-03-04,
LN-21227269,1,1,2021-03-04,
LN-21229870,1,1,2021-03-04,
LN-21333154,1,4,2021-03-04,
LN-21423976,1,2,2021-03-04,
LN-21459049,1,3,2021-03-09,
LN-21816101,1,4,2021-03-09,
LN-22087491,1,2,2021-03-09,
LN-5650350,1,2,2021-03-09,
LN-21889127,1,4,2021-03-09,
LN-22076689,1,2,2021-03-09,
LN-3833911,1,1,2021-03-09,
LN-21571284,1,1,2021-03-09,
LN-3884778,1,1,2021-03-09,
LN-21481019,1,3,2021-03-09,
LN-21548454,1,2,2021-03-09,
LN-21666019,1,2,2021-03-09,
LN-21673589,1,3,2021-03-09,
LN-21948843,1,4,2021-03-09,
LN-21959583,1,2,2021-03-09,
LN-21975731,1,2,2021-03-09,
LN-22076954,1,3,2021-03-09,
LN-22145016,1,2,2021-03-09,
LN-22154019,1,3,2021-03-09,
