zip_code,name
98057,King
98092,King
98136,King
98144,King
98501,Thurston
98424,Pierce
98065,King
98388,Pierce
98023,King
98108,King
98188,King
98422,Pierce
98116,King
98404,Pierce
98117,King
98006,King
98329,Pierce
98178,King
98403,Pierce
98029,King
98028,King
98105,King
98027,King
98327,Pierce
98328,Pierce
98506,Thurston
98402,Pierce
98010,King
98047,Pierce
98166,King
98503,Thurston
98125,King
98466,Pierce
98155,King
98042,King
98007,King
98103,King
98446,Pierce
98532,Thurston
98051,King
98052,King
98115,King
98119,King
98011,King
98418,Pierce
98433,Pierce
98001,King
98439,Pierce
98349,Pierce
98354,Pierce
98005,King
98576,Thurston
98332,Pierce
98304,Pierce
98045,King
98198,King
98321,Pierce
98109,King
98199,King
98321,King
98177,King
98407,Pierce
98421,Pierce
98024,King
98146,King
98101,King
98406,Pierce
98133,King
98058,King
98359,Pierce
98020,King
98032,King
98422,King
98122,King
98168,King
98112,King
98039,King
98047,King
98443,Pierce
98579,Thurston
98038,King
98022,Pierce
98056,King
98303,Pierce
98034,King
98589,Thurston
98409,Pierce
98391,Pierce
98330,Pierce
98002,King
98158,King
98408,Pierce
98354,King
98444,Pierce
98516,Thurston
98077,King
98106,King
98387,Pierce
98019,King
98033,King
98040,King
98513,Thurston
98597,Thurston
98375,Pierce
98338,Pierce
98498,Pierce
98394,Pierce
98371,Pierce
98118,King
98465,Pierce
98072,King
98107,King
98003,King
98580,Thurston
98104,King
98597,Pierce
98373,Pierce
98121,King
98499,Pierce
98374,Pierce
98070,King
98074,King
98053,King
98502,Thurston
98467,Pierce
98372,Pierce
98059,King
98148,King
98445,Pierce
98075,King
98390,Pierce
98333,Pierce
98126,King
98512,Thurston
98360,Pierce
98335,Pierce
98030,King
98580,Pierce
98134,King
98014,King
98405,Pierce
98351,Pierce
98031,King
98008,King
98055,King
98102,King
98004,King
