"cs_id","model_id","score","date_calculated"
"LN-22320844","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-22096400","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21923276","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-21796700","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21634551","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21599257","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21178590","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21178181","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21177960","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-21165916","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-20292461","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-20204306","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-20007582","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-19962444","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-19859913","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-19639036","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-3884778","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-3839013","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-21666019","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-3833911","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21459049","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-22249951","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-5650350","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-7336077","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-22243531","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-3945583","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21481019","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-22145016","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21571284","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-22087491","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21548454","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21948843","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-21816101","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-22076689","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-18337628","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-17665091","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-17212434","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-16845083","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-13929508","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-8895301","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-6176664","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-6176568","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-4000808","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-3857046","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-21490344","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-19771017","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-17213558","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-14058037","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-12170223","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-3934491","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-22202096","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-22093926","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21177908","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-16122969","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-11493457","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-8625418","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-3788534","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"LN-22154019","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21959583","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"21468327","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"18771550","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"21769054","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"20742136","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"20956338","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"21058749","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-21975731","KNN_v.1","3","Fri Mar 05 15:18:01 2021"
"20058903","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21673589","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-21889127","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
"LN-3726167","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-22244199","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-3958478","KNN_v.1","4","Fri Mar 05 15:18:01 2021"
"LN-22076954","KNN_v.1","2","Fri Mar 05 15:18:01 2021"
"LN-22173561","KNN_v.1","1","Fri Mar 05 15:18:01 2021"
