Address_Line,City,Postal_Code,Property_Type,bg_geo_id,Price,SquareFeet,Price/SQFT,Sale_Type,Score
1201 39th Ave SW,Puyallup,98373,Land,5.31E+11,2850000,1682,1409,Investment,5
5110 Chicago Ave SW,Tacoma,98499,Multifamily,5.31E+11,5750000,262250,219,Investment,2
4023 S Orchard,Tacoma,98466,Industrial,5.31E+11,2807600,23384,120,Investment,2
1401 S Union Ave,Tacoma,98405,Office,5.31E+11,1750000,4886,358,Investment,2
10821 Valley Ave E,Puyallup,98372,Land,5.31E+11,2400000,14355,434,Investment,3
12505 Canyon Rd E,Puyallup,98373,Land,5.31E+11,740520,13372,55,Investment,1
8217 S Hosmer St,Tacoma,98408,Land,5.31E+11,1190000,129373,9,Investment,2
3130 S 23rd St,Tacoma,98405,Retail,5.31E+11,13700000,61484,223,Investment,3
4723 E Freeman Rd,Puyallup,98371,Land,5.31E+11,3300000,6737,490,Investment,3
5408 Steilacoom Blvd SW,Lakewood,98499,Retail,5.31E+11,365000,4400,83,Owner User,2
5804 384th St E,Eatonville,98328,Industrial,5.31E+11,700000,26552,26,OwnerUser,3
6802 27th St W,University Place,98466,Land,5.31E+11,6862442,315376,22,Investment,1
401 E 15th St,Tacoma,98421,Specialty,5.31E+11,5750000,84285,68,Investment,4
11619 Pacific Hwy SW,Lakewood,98499,Retail,5.31E+11,700000,4208,166,Owner User,2
2512 Holgate St,Tacoma,98402,Industrial,5.31E+11,3895000,28800,135,Investment,2
12221 Shaw Rd,Puyallup,98374,Land,5.31E+11,2300000,245678.4,9,Investment,1
1502 6th Ave,Tacoma,98405,Retail,5.31E+11,795000,1747,455,Investment,2
412 23rd St,Puyallup,98372,Land,5.31E+11,800000,49222.8,16,Investment,1
5715 Wollochet Dr NW,Gig Harbor,98335,Office,5.31E+11,997950,6000,166,Owner User,2
2401 N Pearl St,Tacoma,98406,Retail,5.31E+11,4740000,43327,109,Investment NNN,3
12716 86th Ave E,Puyallup,98373,Land,5.31E+11,1150000,217800,5,Investment,1
16504 64th St E,Sumner,98390,Land,5.31E+11,3200000,44431.2,72,Investment,1
21509 Mountain Hwy E,Spanaway,98387,Land,5.31E+11,600000,70567.2,9,Investment,3
18811 38th Ave E,Tacoma,98446,Land,5.31E+11,495000,42688.8,12,Investment,3
9402 Front St S,Lakewood,98499,Land,5.31E+11,230000,34412.4,7,Investment,3
5601 Soundview Dr,Gig Harbor,98335,Retail,5.31E+11,1780000,6686,266,Owner User,3
8217 S Hosmer St,Tacoma,98408,Land,5.31E+11,1190000,37026,32,Investment,1
6722 Yakima Ave,Tacoma,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,5.31E+11,629900,3226,195,Investment or Owner User,2
10117 S Tacoma Way,Lakewood,98499,Sports&Entertainment,5.31E+11,8800000,25000,352,OwnerUser,3
16313 64th St E,Sumner,98390,Land,5.30531E+11,950000,52675,290,Investment,1
4412 6th Ave,Tacoma,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,5.30531E+11,695000,3648,191,Investment or Owner User,2
2213 N Warner St,Tacoma,98406,Specialty,5.30531E+11,1100000,9680,114,Investment,3
1824 S Meridian St,Puyallup,98371,Office,5.30531E+11,575000,1728,333,Owner User,2
12811 Pacific Ave S,Tacoma,98444,Retail,5.30531E+11,1470000,575,2557,Investment,1
1401 S Union Ave,Tacoma,98405,Office,5.30531E+11,1750000,4886,358,Investment,2
8717 Key Peninsula Hwy NW,Lakebay,98349,Land,5.30531E+11,815000,291852,3,OwnerUser,1
6403-6413 Steilacoom Blvd SW,Lakewood,98499,Retail,5.30531E+11,1250000,9982,125,Investment or Owner User,3
1009-1013 Pacific Ave,Tacoma,98402,Retail,5.30531E+11,3500000,30368,115,Owner User,4
10209 Bridgeport Way SW,Lakewood,98499,Office,5.30531E+11,2800000,14437,194,Investment,3
11311 164th St E,Puyallup,98374,IndustrialOfficeIndustrialLiveWorkUnit,5.30531E+11,1500000,2113,710,InvestmentorOwnerUser,1
9810 Pacific Ave,Tacoma,98444,Retail,5.30531E+11,2370000,1682,1409,Investment,1
4404 S Meridian,Puyallup,98373,Retail,5.30531E+11,6230000,14355,434,Investment,2
4201 S Steele St,Tacoma,98409,Retail,5.30531E+11,3300000,6737,490,Owner User,2
119 Mashell Ave S,Eatonville,98328,Retail,5.30531E+11,359000,1464,245,Investment,3
1950 S State St,Tacoma,98405,Flex,5.30531E+11,17250000,242000,71,InvestmentorOwnerUser,1
1720 S 7th St,Tacoma,98405,Industrial,5.30531E+11,4950000,37450,132,InvestmentorOwnerUser,1
2202 84th St S,Lakewood,98499,Retail,5.30531E+11,1499000,4995,300,Investment or Owner User,1
120 136th St S,Tacoma,98444,Multifamily,5.30531E+11,7900000,39460,200,Investment,4
808 N 2nd St,Tacoma,98403,Office,5.30531E+11,899000,2044,440,Investment or Owner User,2
