cs_id,model_id,score
LN-18918096,4,2
LN-14109212,4,4
LN-18729587,4,2
LN-18181205,4,3
LN-17569293,4,3
LN-16681285,4,2
LN-18819368,4,1
LN-18181149,4,3
LN-20058903,4,2
LN-20432592,4,3
LN-19374344,4,3
LN-20257323,4,4
LN-20205607,4,3
LN-14192655,4,2
LN-12170475,4,3
LN-12239253,4,1
LN-16445283,4,1
LN-16681285,4,2
LN-17033691,4,1
LN-17149505,4,2
LN-17569293,4,3
LN-17692757,4,1
LN-17868872,4,1
LN-18181149,4,3
LN-18181205,4,3
LN-18288967,4,3
LN-18591703,4,3
LN-18710758,4,1
LN-18729587,4,2
LN-18819368,4,1
LN-18918096,4,2
LN-19374344,4,3
LN-19626041,4,2
LN-19627971,4,1
LN-20058903,4,2
LN-20107835,4,1
LN-20205607,4,3
LN-20257323,4,4
LN-20432592,4,3
LN-20769216,4,1
LN-20886717,4,2
LN-21769054,4,2
LN-11150078,4,2
LN-12170475,4,3
LN-14192655,4,2
LN-12239253,4,1
LN-14109212,4,4
LN-15108367,4,2
